user_id,censor_status,work_year
159896,1,10+ years
159901,0,10+ years
159902,1,7 years
159903,2,10+ years
159905,1,10+ years
159909,0,10+ years
159910,0,9 years
159911,2,10+ years
159913,2,10+ years
159914,2,10+ years
159915,1,6 years
159916,0,10+ years
159918,2,10+ years
159919,2,10+ years
159921,2,10+ years
159923,2,10+ years
159924,0,10+ years
159926,2,10+ years
159927,0,10+ years
159928,2,8 years
159929,1,8 years
159932,1,10+ years
159933,1,6 years
159934,0,10+ years
159939,2,10+ years
159941,2,8 years
159943,2,9 years
159944,2,6 years
159945,1,8 years
159946,1,6 years
159947,1,10+ years
159948,2,8 years
159949,0,10+ years
159953,2,10+ years
159960,1,10+ years
159961,2,10+ years
159962,1,10+ years
159964,1,10+ years
159965,1,10+ years
159968,0,10+ years
159969,1,10+ years
159971,2,10+ years
159972,0,8 years
159974,1,10+ years
159978,2,10+ years
159979,0,10+ years
159981,2,10+ years
159985,1,7 years
159986,1,8 years
159990,1,7 years
160000,0,9 years
160005,1,10+ years
160006,1,10+ years
160007,2,9 years
160010,2,10+ years
160011,0,10+ years
160013,0,10+ years
160014,2,10+ years
160017,2,10+ years
160019,1,10+ years
160024,2,10+ years
160026,2,10+ years
160030,2,10+ years
160031,0,10+ years
160032,1,7 years
160033,1,7 years
160034,0,9 years
160035,1,10+ years
160036,1,10+ years
160038,2,10+ years
160039,0,10+ years
160041,0,10+ years
160044,1,10+ years
160046,2,8 years
160047,1,8 years
160049,0,6 years
160050,0,10+ years
160052,1,10+ years
160053,2,7 years
160054,2,6 years
160056,1,10+ years
160058,2,10+ years
160059,0,10+ years
160063,1,6 years
160064,0,9 years
160065,1,10+ years
160066,2,10+ years
160067,2,10+ years
160068,1,10+ years
160069,0,6 years
160071,2,10+ years
160076,2,10+ years
160078,2,10+ years
160079,0,9 years
160083,2,10+ years
160084,1,8 years
160087,2,10+ years
160088,2,10+ years
160089,1,10+ years
160090,2,10+ years
160093,1,8 years
160096,1,10+ years
160097,2,10+ years
160098,1,10+ years
160101,1,10+ years
160102,0,7 years
160103,1,10+ years
160107,2,6 years
160108,1,10+ years
160111,1,8 years
160112,1,10+ years
160113,2,7 years
160115,1,7 years
160119,1,7 years
160120,0,10+ years
160122,0,10+ years
160125,2,10+ years
160128,1,6 years
160129,1,10+ years
160130,0,10+ years
160132,0,10+ years
160134,1,10+ years
160135,2,10+ years
160136,2,10+ years
160137,1,10+ years
160139,2,10+ years
160140,1,10+ years
160144,1,10+ years
160150,2,10+ years
160152,0,7 years
160153,0,6 years
160156,0,10+ years
160158,2,10+ years
160159,1,10+ years
160160,0,10+ years
160162,2,10+ years
160165,2,10+ years
160166,2,6 years
160168,0,10+ years
160173,2,10+ years
160174,1,9 years
160175,1,10+ years
160179,0,10+ years
160182,0,10+ years
160184,1,9 years
160186,2,10+ years
160187,1,10+ years
160188,2,10+ years
160191,0,10+ years
160196,0,10+ years
160197,1,9 years
160202,1,10+ years
160203,1,10+ years
160204,0,10+ years
160206,2,10+ years
160208,2,9 years
160209,2,10+ years
160215,2,10+ years
160216,1,10+ years
160217,1,8 years
160219,2,10+ years
160220,2,10+ years
160222,2,10+ years
160225,1,10+ years
160226,1,10+ years
160228,0,7 years
160229,1,6 years
160230,1,10+ years
160232,0,10+ years
160233,2,10+ years
160234,1,10+ years
160235,1,10+ years
160236,2,10+ years
160237,1,10+ years
160238,2,7 years
160240,0,6 years
160241,2,10+ years
160244,0,10+ years
160247,0,10+ years
160248,1,10+ years
160249,1,7 years
160250,1,10+ years
160251,1,10+ years
160252,1,10+ years
160253,2,7 years
160255,0,6 years
160258,2,6 years
160259,0,9 years
160260,2,10+ years
160262,2,9 years
160264,1,10+ years
160269,1,10+ years
160272,0,8 years
160274,1,10+ years
160275,2,10+ years
160277,0,10+ years
160278,1,9 years
160280,0,10+ years
160281,0,8 years
160283,1,10+ years
160284,2,10+ years
160285,2,10+ years
160288,1,6 years
160289,0,10+ years
160292,2,7 years
160295,1,10+ years
160297,1,7 years
160299,1,10+ years
160300,0,10+ years
160301,2,10+ years
160303,2,8 years
160305,1,8 years
160306,0,10+ years
160307,1,10+ years
160309,2,8 years
160311,2,8 years
160314,2,10+ years
160317,1,10+ years
160319,0,10+ years
160323,2,7 years
160324,1,10+ years
160325,1,6 years
160329,1,8 years
160330,1,10+ years
160333,1,10+ years
160335,0,10+ years
160336,1,6 years
160341,1,10+ years
160342,0,7 years
160349,0,10+ years
160354,1,10+ years
160356,1,10+ years
160358,0,10+ years
160359,2,10+ years
160361,1,8 years
160364,2,10+ years
160366,2,10+ years
160367,1,10+ years
160368,1,7 years
160371,2,10+ years
160373,1,8 years
160374,1,10+ years
160375,2,7 years
160376,2,10+ years
160377,1,10+ years
160379,0,10+ years
160381,1,10+ years
160382,0,10+ years
160385,2,10+ years
160386,1,9 years
160387,2,10+ years
160388,0,7 years
160389,2,10+ years
160390,1,10+ years
160392,2,10+ years
160393,0,10+ years
160398,1,10+ years
160399,1,6 years
160403,1,10+ years
160406,0,8 years
160407,2,10+ years
160408,0,10+ years
160413,1,6 years
160415,2,10+ years
160417,1,10+ years
160418,1,10+ years
160421,2,6 years
160422,2,10+ years
160426,1,7 years
160427,2,7 years
160428,2,6 years
160429,0,10+ years
160430,1,10+ years
160434,2,10+ years
160435,1,7 years
160436,1,6 years
160438,2,9 years
160441,1,6 years
160443,0,10+ years
160445,1,8 years
160447,0,10+ years
160450,2,10+ years
160453,0,10+ years
160454,2,10+ years
160456,0,10+ years
160458,1,7 years
160459,1,10+ years
160461,0,8 years
160464,0,10+ years
160465,0,10+ years
160467,0,10+ years
160469,1,10+ years
160471,0,10+ years
160472,2,8 years
160474,0,6 years
160476,1,6 years
160477,1,8 years
160480,0,6 years
160481,0,10+ years
160482,1,10+ years
160483,2,7 years
160484,1,7 years
160486,0,8 years
160488,2,10+ years
160493,0,10+ years
160494,0,10+ years
160497,2,8 years
160499,0,10+ years
160501,0,8 years
160502,1,10+ years
160503,1,9 years
160504,0,10+ years
160507,1,10+ years
160508,1,10+ years
160510,1,10+ years
160511,0,10+ years
160512,0,10+ years
160514,2,10+ years
160519,1,8 years
160521,1,10+ years
160522,1,10+ years
160523,1,7 years
160524,0,10+ years
160525,1,10+ years
160526,1,10+ years
160527,0,6 years
160528,0,10+ years
160529,2,10+ years
160531,1,10+ years
160532,2,10+ years
160533,1,10+ years
160534,2,10+ years
160535,2,7 years
160536,2,10+ years
160537,2,10+ years
160543,2,10+ years
160545,1,6 years
160549,0,10+ years
160550,2,9 years
160552,0,7 years
160556,1,8 years
160557,2,10+ years
160560,1,9 years
160561,2,10+ years
160563,1,10+ years
160566,0,8 years
160569,0,10+ years
160575,2,8 years
160578,1,10+ years
160579,0,10+ years
160580,1,7 years
160581,1,10+ years
160583,1,10+ years
160584,0,10+ years
160587,0,10+ years
160588,2,6 years
160589,2,10+ years
160592,0,8 years
160595,2,10+ years
160597,1,10+ years
160598,1,10+ years
160602,0,6 years
160604,0,10+ years
160606,2,10+ years
160611,2,10+ years
160612,2,8 years
160617,0,7 years
160619,2,8 years
160624,0,8 years
160625,1,10+ years
160629,0,10+ years
160631,1,10+ years
160633,2,8 years
160634,0,7 years
160635,2,10+ years
160636,1,10+ years
160639,1,8 years
160642,0,8 years
160645,1,6 years
160646,1,10+ years
160647,1,10+ years
160653,1,8 years
160654,1,10+ years
160656,1,6 years
160657,0,9 years
160658,0,10+ years
160660,1,10+ years
160661,0,6 years
160662,2,7 years
160663,0,10+ years
160666,2,9 years
160667,0,10+ years
160669,1,8 years
160671,1,7 years
